x,y,z,vx,vy,vz,t
0.5,-0.5,0.0,0.0010000000474974513,-0.0010000000474974513,0.0,0.0
0.01380969025194645,0.05043526366353035,0.7051705718040466,0.0012395845260471106,0.00033955901744775474,0.000590025563724339,0.0
0.0139722317058107,0.050480620770363624,0.7052431495509222,0.0011593157434214448,0.00032987959498989637,0.0004812086076129023,0.1355094123916869
0.014991120406637045,0.05086308133179252,0.7051640344786239,0.0003409263258513439,0.00023514960195928755,-0.0005953259335150522,1.490603536308556
0.012521486935424306,0.05126601043981979,0.6981440642998827,-0.0016902194893429856,-7.180200722316395e-06,-0.003445761682427136,5.0
0.012521486935424306,0.05126601043981979,0.6981440642998827,-0.0016902194893429856,-7.180200722316395e-06,-0.003445761682427136,5.0
0.012254602380778684,0.051263973006919844,0.6975864838728596,-0.0016838912895315774,-1.8569532192806918e-05,-0.0036035112787602304,5.15819516688745
0.009642081251587924,0.0511460899206162,0.6906380784459425,-0.0016183230037319146,-0.00012960263488584053,-0.0051811203433524515,6.740146835761947
0.004603629101186867,0.0503710763065056,0.6684489850380996,-0.0014698443319059616,-0.0003423077616602847,-0.00843252464945387,10.0
0.004603629101186867,0.0503710763065056,0.6684489850380996,-0.0014698443319059616,-0.0003423077616602847,-0.00843252464945387,10.0
0.0043751230676898414,0.050316965571104176,0.6671225607906566,-0.0014623100898251745,-0.00035202683015471376,-0.008587990230155895,10.15586182506377
0.00215596501651165,0.04969394627433552,0.652525587745933,-0.0013845468838441996,-0.00044664280046082775,-0.010142675908094735,11.71448007570147
-0.002104609107437926,0.04791853218393306,0.6138178464570401,-0.0012054362803429917,-0.0006305504942895341,-0.013419936290885719,15.0
-0.002104609107437926,0.04791853218393306,0.6138178464570401,-0.0012054362803429917,-0.0006305504942895341,-0.013419936290885719,15.0
-0.00228011092668325,0.04782583211146911,0.6118465261708779,-0.00119701758771552,-0.0006384228750610742,-0.013565658978085511,15.146101670760434
-0.003966167988271258,0.046836757549316016,0.5909623781501097,-0.00111024786797552,-0.0007148197091321829,-0.015022838937849692,16.60711837836477
-0.007365802112251075,0.04413274195931141,0.5342516132058384,-0.0008887525528551787,-0.0008748930963546632,-0.01840625734540006,20.0
-0.007365802112251075,0.04413274195931141,0.5342516132058384,-0.0008887525528551787,-0.0008748930963546632,-0.01840625734540006,20.0
-0.007526537684064412,0.04397261905703181,0.5308825782651405,-0.000876207283964302,-0.000883343503204948,-0.018587844222390407,20.18213902935357
-0.009004510291986565,0.04228948229023698,0.49537332283203006,-0.000744844141420557,-0.0009634875995625671,-0.02040344104631162,22.003529322889285
-0.010880355763138574,0.03922797773648613,0.4297616344543495,-0.0005005068820291276,-0.0010752722167608462,-0.023388779293669212,25.0
-0.010880355763138574,0.03922797773648613,0.4297616344543495,-0.0005005068820291276,-0.0010752722167608462,-0.023388779293669212,25.0
-0.010951261775421392,0.039061856057467446,0.42619349863371014,-0.00043101753806522677,-0.0011087800924886218,-0.023519732005344147,25.15213048032353
-0.011101797557029685,0.0374095984438186,0.3943195554877352,0.00013717324335246755,-0.0013294146415401796,-0.024109112143047073,26.48337104698647
-0.010747512120568552,0.03561064752664792,0.36257574621461686,0.0003572526013046203,-0.0013549783250932513,-0.02343423846867107,27.814611613649408
-0.009967048912702408,0.033077732399396306,0.3196097133550642,0.0004338737539241504,-0.001295415638432222,-0.021602226470202122,29.720545973906
-0.009845515275379487,0.032717189945629783,0.31361188517902816,0.00043570355754404583,-0.0012848836904907446,-0.021323102721137403,30.0
-0.009845515275379487,0.032717189945629783,0.31361188517902816,0.00043570355754404583,-0.0012848836904907446,-0.021323102721137403,30.0
-0.009775390201573276,0.032503623797524174,0.3101880707491885,0.0004348990909773065,-0.001366145453637377,-0.021183981831353695,30.161092859682228
-0.009083716208407137,0.029730696883761495,0.2772255202483906,0.00042262066607226957,-0.002031550572947751,-0.019719292565173664,31.772021456504504
-0.007781046812259582,0.022017157560969884,0.21863634774529642,0.000381860528697945,-0.002584804165494878,-0.01655261307752297,35.0
-0.007781046812259582,0.022017157560969884,0.21863634774529642,0.000381860528697945,-0.002584804165494878,-0.01655261307752297,35.0
-0.0077184347144086925,0.02162549563939961,0.21611332823943408,0.0004360876693040237,-0.0025337368474946005,-0.0164193774500145,35.15303942213746
-0.006692192683776579,0.018121661519705436,0.1920316054004621,0.000871372299968986,-0.002054998507902098,-0.015037707469996303,36.68343364351207
-0.003177916640978616,0.012761586164419834,0.14740099153212616,0.001084592660689122,-0.0012259064766265654,-0.01185056921734929,40.0
-0.003177916640978616,0.012761586164419834,0.14740099153212616,0.001084592660689122,-0.0012259064766265654,-0.01185056921734929,40.0
-0.0030233258028947384,0.012579441234428343,0.14572231096774416,0.0010893785928017207,-0.0013356006933224632,-0.011759857850277191,40.14219526824215
-0.0015071622002670888,0.009989950799305564,0.12973379859035428,0.0009993287427858043,-0.0022315222691080654,-0.010671217851658638,41.564147950663624
0.00024303126649505616,0.004171167291493746,0.10653996738822488,0.00039997271699856703,-0.002193325535996413,-0.008389682344407116,43.99862173196759
0.000521605641735851,0.0022011649448274925,0.09856907702674823,0.00016478718696680386,-0.0017182711059794955,-0.007540627466387377,45.0
0.000521605641735851,0.0022011649448274925,0.09856907702674823,0.00016478718696680386,-0.0017182711059794955,-0.007540627466387377,45.0
0.0005410805995079673,0.0019769617291744224,0.09757354306734253,0.0001284018031970884,-0.0016527976608082242,-0.007430616831209527,45.1329947471932
0.0005206016500036327,0.00027116403013748816,0.08839996031459998,-0.00012576851940745962,-0.0008914328741102765,-0.006371452037467992,46.46294221912522
