Wall time,Step,Value
1720262746.6342793,2048,-159.25164794921875
1720262877.9197721,4096,-146.70877075195312
1720263042.0227726,6144,-126.88802337646484
1720263239.8960235,8192,-111.67507934570312
1720263474.940764,10240,-92.9592056274414
1720263729.3586817,12288,-84.1744384765625
1720264035.9310272,14336,-69.06204223632812
1720264389.6126058,16384,-92.75666046142578
1720264779.9133203,18432,-79.21826171875
1720265222.6116679,20480,-59.66759490966797
1720265698.535754,22528,-47.52250671386719
1720266221.7992268,24576,-41.9271125793457
1720266580.252536,26624,-38.45465087890625
1720266948.3516295,28672,-34.691837310791016
1720267347.4595792,30720,-31.001617431640625
1720267763.9915683,32768,-28.48271369934082
1720268210.4097366,34816,-22.332475662231445
1720268690.9849582,36864,-19.024978637695312
1720269192.2759447,38912,-15.473711967468262
1720269723.4204662,40960,-15.667485237121582
1720270274.961093,43008,-12.013526916503906
1720270867.5240328,45056,-12.254344940185547
1720271484.7569125,47104,-9.831425666809082
1720272139.3544896,49152,-9.561334609985352
1720272830.138315,51200,-8.753350257873535
1720273541.395833,53248,-8.691274642944336
1720274301.770515,55296,-8.379005432128906
1720275100.1827981,57344,-8.449707984924316
1720275917.7818906,59392,-8.485148429870605
1720276780.8630137,61440,-8.551885604858398
1720277681.4014792,63488,-8.504810333251953
1720278617.695843,65536,-5.138963222503662
1720279587.2275972,67584,-5.249693393707275
1720280603.5184934,69632,-8.762372970581055
1720281661.9128196,71680,-5.2468390464782715
1720282731.6515331,73728,-5.25576114654541
1720283866.299724,75776,-5.251819133758545
1720285043.264757,77824,-5.259491443634033
1720286257.386803,79872,-5.260125160217285
1720287524.6085067,81920,-5.245571613311768
1720288827.3328938,83968,-5.245563507080078
1720290186.357766,86016,-5.245215892791748
1720291589.0643945,88064,-5.244987487792969
1720293036.7893708,90112,-5.244883060455322
1720294533.2422354,92160,-5.244932651519775
1720296054.9197524,94208,-5.244943618774414
1720297640.421267,96256,-5.244816780090332
1720299269.7982342,98304,-5.244450092315674
1720300928.4051774,100352,-5.242620468139648
1720302651.9513206,102400,-5.243275165557861
1720304413.1782894,104448,-5.242481231689453
1720306225.6702936,106496,-5.241939544677734
1720308073.8429773,108544,-5.241025447845459
1720309958.697826,110592,-5.240853786468506
1720311888.7408476,112640,-5.241349697113037
1720313865.9236598,114688,-5.240578651428223
1720315891.3599749,116736,-5.240128517150879
1720317956.6754687,118784,-5.23970890045166
1720320068.3036885,120832,-5.239704608917236
1720322227.6087577,122880,-5.239704608917236
1720324420.1557076,124928,-5.239704608917236
1720326660.2652786,126976,-5.239704608917236
1720328927.0588467,129024,-5.239704608917236
1720331230.7547026,131072,-5.239704608917236
1720333558.6389942,133120,-5.239704608917236
