Wall time,Step,Value
1721109875.1026404,2048,-570.8026123046875
1721109953.040857,12288,-470.4349365234375
1721110024.0751553,22528,-310.49517822265625
1721110102.24218,32768,-282.611572265625
1721110174.2907012,43008,-272.60015869140625
1721110244.4594107,53248,-290.4800720214844
1721110322.5902507,63488,-320.4800720214844
1721110394.788974,73728,-290.3785095214844
1721110470.3464625,83968,-280.4476623535156
1721110545.210023,94208,-300.4884033203125
1721110617.6863792,104448,-280.4753112792969
1721110686.008612,114688,-460.7669677734375
1721110756.9673333,124928,-390.636474609375
1721110824.2460282,135168,-480.4776916503906
1721110890.5442665,145408,-348.95709228515625
1721110957.0064714,155648,-349.34619140625
1721111025.5839858,165888,-340.2593688964844
1721111093.356107,176128,-327.5539855957031
1721111161.7890081,186368,-299.5608825683594
1721111232.1969392,196608,-285.4016418457031
1721111301.0513828,206848,-352.7354431152344
1721111367.4323463,217088,-336.462890625
1721111437.1135192,227328,-340.4549560546875
1721111508.3293557,237568,-280.3915100097656
1721111579.285003,247808,-252.51605224609375
1721111646.9362543,258048,-292.50115966796875
1721111717.979681,268288,-322.69036865234375
1721111784.669148,278528,-310.44378662109375
1721111850.8374853,288768,-370.46099853515625
1721111919.8850508,299008,-409.8189697265625
1721111989.9120684,309248,-330.4272766113281
1721112058.710371,319488,-370.4373779296875
1721112127.1390655,329728,-392.5534362792969
1721112195.123904,339968,-349.8182373046875
1721112262.5017457,350208,-330.5161437988281
1721112328.8773377,360448,-330.4865417480469
1721112395.57209,370688,-300.45880126953125
1721112464.2614062,380928,-252.4853973388672
1721112531.7307937,391168,-232.49497985839844
1721112602.0717878,401408,-209.3815155029297
1721112670.3359733,411648,-180.3424072265625
1721112738.7974646,421888,-180.3130340576172
1721112807.033986,432128,-200.30624389648438
1721112875.8918612,442368,-210.30804443359375
1721112945.124193,452608,-240.33743286132812
1721113013.0260334,462848,-212.4339599609375
1721113081.9713771,473088,-230.33346557617188
1721113147.9631896,483328,-222.50375366210938
1721113216.7842226,493568,-250.37547302246094
1721113292.5422847,503808,-300.3604736328125
1721113366.7641547,514048,-290.3900146484375
1721113435.0435574,524288,-260.3287658691406
1721113502.3066175,534528,-240.3511962890625
1721113563.9312372,544768,-232.3927001953125
1721113627.655655,555008,-231.14419555664062
1721113697.7267456,565248,-240.43911743164062
1721113762.3612528,575488,-256.4440002441406
1721113833.8348203,585728,-262.51202392578125
1721113898.3737588,595968,-260.3815612792969
1721113960.3660765,606208,-242.4879913330078
1721114022.1811464,616448,-232.3487548828125
1721114091.989809,626688,-250.3716583251953
1721114167.4582582,636928,-260.44451904296875
1721114236.8063586,647168,-290.47918701171875
1721114309.1733086,657408,-262.5885314941406
1721114378.666298,667648,-250.44862365722656
1721114448.4576716,677888,-270.44915771484375
1721114517.2280278,688128,-272.5077209472656
1721114581.4995508,698368,-250.35516357421875
1721114648.4897668,708608,-272.48431396484375
1721114716.3147507,718848,-250.00604248046875
1721114781.7420404,729088,-238.59031677246094
1721114845.298523,739328,-258.8359375
1721114910.8069878,749568,-269.5260925292969
1721114975.1931305,759808,-307.3763122558594
1721115039.61862,770048,-319.5614929199219
1721115105.8081143,780288,-340.21588134765625
1721115169.5618882,790528,-357.5083312988281
1721115232.9966874,800768,-340.6064453125
1721115299.0991378,811008,-323.74298095703125
1721115362.3881583,821248,-350.6888732910156
1721115425.486412,831488,-390.67218017578125
1721115491.3838239,841728,-410.61700439453125
1721115556.8414624,851968,-472.7843933105469
1721115621.9580004,862208,-370.5845947265625
1721115684.3053663,872448,-382.16790771484375
1721115746.2940245,882688,-348.53253173828125
1721115812.493426,892928,-330.5588684082031
1721115878.4438095,903168,-330.5686340332031
1721115942.907024,913408,-310.5664367675781
1721116005.3064976,923648,-310.54705810546875
1721116067.2768369,933888,-300.5439758300781
1721116132.2748585,944128,-290.6298828125
1721116194.499131,954368,-310.63751220703125
1721116255.3887317,964608,-312.75579833984375
1721116318.2705202,974848,-310.6468811035156
1721116382.0228682,985088,-290.6388854980469
1721116444.6214836,995328,-300.7000732421875
1721116508.9882977,1005568,-290.64453125
1721116573.7633333,1015808,-280.5841064453125
1721116640.2339761,1026048,-270.5823059082031
1721116705.1397016,1036288,-262.5577697753906
1721116767.365865,1046528,-270.5994873046875
1721116832.8604991,1056768,-270.6324462890625
1721116897.8750155,1067008,-272.62335205078125
1721116962.4519746,1077248,-270.630126953125
1721117024.3996592,1087488,-260.67181396484375
1721117093.219328,1097728,-279.6007995605469
1721117156.6650898,1107968,-259.5902404785156
1721117222.344529,1118208,-249.78292846679688
1721117284.8695602,1128448,-239.2269287109375
1721117348.3526573,1138688,-250.6095733642578
1721117412.0663035,1148928,-260.62078857421875
1721117472.7517595,1159168,-270.66217041015625
1721117535.6268032,1169408,-270.66583251953125
1721117599.0087874,1179648,-280.667236328125
1721117660.2605221,1189888,-252.56796264648438
1721117726.2031004,1200128,-260.5940856933594
1721117792.3488722,1210368,-260.62445068359375
1721117859.3838642,1220608,-262.6423645019531
1721117923.3270495,1230848,-250.5966796875
1721117990.9646592,1241088,-240.57139587402344
1721118058.8392828,1251328,-230.5529022216797
1721118120.920221,1261568,-230.578125
1721118184.8249426,1271808,-260.6273498535156
1721118252.4639814,1282048,-270.6195373535156
1721118315.1633866,1292288,-260.6302490234375
1721118380.7564785,1302528,-240.57022094726562
1721118445.0430255,1312768,-230.55860900878906
1721118506.3775885,1323008,-232.47959899902344
1721118568.8896194,1333248,-240.51878356933594
1721118632.0781903,1343488,-237.74905395507812
1721118696.8185568,1353728,-280.5794372558594
1721118760.4978948,1363968,-272.536865234375
1721118821.1239636,1374208,-260.50921630859375
1721118883.1898956,1384448,-282.56488037109375
1721118945.5397625,1394688,-262.5301208496094
1721119009.3243868,1404928,-270.52752685546875
1721119074.342981,1415168,-270.5170593261719
1721119139.1906948,1425408,-252.51792907714844
