x,y,z,vx,vy,vz,t
1.0,1.0,1.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0
1.0,1.0,1.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0
0.9999988149400592,0.9999988986022343,0.9999980874249945,-0.0009822391621717788,-0.0009200132785264188,-0.0015238931407604483,0.0026848679199218263
0.9998287891637199,0.9998386055708869,0.999741678453732,-0.011630765459515066,-0.010977310191909905,-0.01749572424612127,0.02953354711914009
0.9839506385716941,0.9846709710227614,0.975992550129989,-0.10193897260558245,-0.09803954067317963,-0.1520345452439552,0.2980203391113227
0.8599003458209519,0.8624140836077088,0.7943674103300827,-0.22939356886573936,-0.23016137927272484,-0.32944044770794784,1.0
0.8599003458209519,0.8624140836077088,0.7943674103300827,-0.22939356886573936,-0.23016137927272484,-0.32944044770794784,1.0
0.8352946730220511,0.8381921605429693,0.7608766217581082,-0.2544245638604917,-0.24630752010193913,-0.3297887675229298,1.1015612461410376
0.5570863944987736,0.5876182508999015,0.48130709793812665,-0.3274568176063892,-0.28583174474536505,-0.2804531697183966,2.0
0.5570863944987736,0.5876182508999015,0.48130709793812665,-0.3274568176063892,-0.28583174474536505,-0.2804531697183966,2.0
0.5179625621010086,0.553286971494828,0.4479807306293078,-0.3192033156530268,-0.281552779677908,-0.2704447709814201,2.1209603126164107
0.27267489203574935,0.33004336658752575,0.24645670577087672,-0.23387942147950713,-0.21998737658388723,-0.18671684960391738,3.0
0.27267489203574935,0.33004336658752575,0.24645670577087672,-0.23387942147950713,-0.21998737658388723,-0.18671684960391738,3.0
0.2472492024324846,0.3061094449707649,0.22625308278689854,-0.22250192919554654,-0.20964317758804923,-0.1759926332619051,3.1114176495804537
0.08960782428399153,0.15500646074891322,0.10427435698356154,-0.13401060786075314,-0.1327380076040663,-0.1023401299997842,4.0
0.08960782428399153,0.15500646074891322,0.10427435698356154,-0.13401060786075314,-0.1327380076040663,-0.1023401299997842,4.0
0.07627489405467021,0.1417289817344942,0.09406795950986331,-0.12448461426591718,-0.12468447349608687,-0.09555136409524251,4.103179015394659
-0.002798471712140274,0.057036803470981126,0.030826125930789885,-0.056406454398011105,-0.0680819603479543,-0.04905310771292596,5.0
-0.002798471712140274,0.057036803470981126,0.030826125930789885,-0.056406454398011105,-0.0680819603479543,-0.04905310771292596,5.0
-0.006541810271688418,0.052454880709404565,0.027525693346684334,-0.05209496449011881,-0.0647083060302655,-0.04659751871355544,5.069020806292649
-0.029994326988113832,0.017879625059629756,0.0027404454299099594,-0.018657667730682836,-0.03729338110598972,-0.026505452169350092,5.759228869219136
-0.033488884808189436,0.00978886791961758,-0.002984055695050317,-0.01064980721377776,-0.030094527604707905,-0.021175085467644544,6.0
-0.033488884808189436,0.00978886791961758,-0.002984055695050317,-0.01064980721377776,-0.030094527604707905,-0.021175085467644544,6.0
-0.034270924439839145,0.007377950751529997,-0.004687300371749125,-0.008196558803782537,-0.027924199480487685,-0.01981003972323845,6.083135482868512
-0.03364650443531431,-0.008453632392357866,-0.016355620608565623,0.007223969764933844,-0.01168210743618971,-0.009087708279027721,6.91449031155363
-0.032992356977790495,-0.00940090246733543,-0.017096461996091245,0.008057283944212332,-0.010486305986699983,-0.008247104870562138,7.0
-0.032992356977790495,-0.00940090246733543,-0.017096461996091245,0.008057283944212332,-0.010486305986699983,-0.008247104870562138,7.0
-0.032120806299231516,-0.010408381181744322,-0.017905357375163192,0.008921997518404152,-0.00918679932055887,-0.0075412248780022915,7.102507036861966
-0.02239690712828738,-0.014703555329046113,-0.02234572925801019,0.011497433339291974,-0.001329415503493133,-0.0027336654365922855,8.0
-0.02239690712828738,-0.014703555329046113,-0.02234572925801019,0.011497433339291974,-0.001329415503493133,-0.0027336654365922855,8.0
-0.0212535284398819,-0.014808296302124192,-0.02260365551934927,0.011397010986337906,-0.0007770504071217398,-0.0024353582111311016,8.099844416051157
-0.011952716473471223,-0.013882988901004896,-0.023775993702861348,0.008920635602562834,0.0023393191930615844,-0.0003321431541449889,9.0
-0.011952716473471223,-0.013882988901004896,-0.023775993702861348,0.008920635602562834,0.0023393191930615844,-0.0003321431541449889,9.0
-0.01100240988909722,-0.013616857141228745,-0.023801271441080102,0.00852160998674592,0.0025406903937804123,-0.00013382554242127731,9.108957970382017
-0.004877572869536876,-0.01091710171967655,-0.023324256296239392,0.005276412011027969,0.0032897660774652846,0.001097594271884961,10.0
-0.004877572869536876,-0.01091710171967655,-0.023324256296239392,0.005276412011027969,0.0032897660774652846,0.001097594271884961,10.0
-0.00428810139487013,-0.010534720300113065,-0.023188090197440628,0.004892037485330413,0.0033024097398503083,0.0012488400390044175,10.115966437904722
-0.0011066350830660388,-0.0076967435489861,-0.021681566876828748,0.0024585144062222184,0.003029059305903765,0.002069833577152339,11.0
-0.0011066350830660388,-0.0076967435489861,-0.021681566876828748,0.0024585144062222184,0.003029059305903765,0.002069833577152339,11.0
-0.0008419613534782703,-0.007357078656243808,-0.02144166497105753,0.0022142792252918095,0.0029636598865262426,0.002161826494701718,11.113344281505942
0.0004305624294037721,-0.00499179905384382,-0.01929198263672341,0.0007934791984530358,0.0023515858582065638,0.0026157769421474115,12.0
0.0004305624294037721,-0.00499179905384382,-0.01929198263672341,0.0007934791984530358,0.0023515858582065638,0.0026157769421474115,12.0
0.0005190514629458398,-0.004710243992554219,-0.018969979647230767,0.0006587141905276539,0.002262132671578386,0.002659525562415144,12.12205092831355
0.0007779681997128728,-0.003001075355567707,-0.016556548753642045,1.7949628984626387e-05,0.001642028557653917,0.0027899359380306682,13.0
0.0007779681997128728,-0.003001075355567707,-0.016556548753642045,1.7949628984626387e-05,0.001642028557653917,0.0027899359380306682,13.0
0.0007765799074463134,-0.00279101875181854,-0.016189842077582308,-3.7662500947895144e-05,0.0015563930772730828,0.0027921393604335336,13.131366175103317
0.0006406581370019343,-0.0016651806650154802,-0.013794255155457583,-0.00023202176617953462,0.0010555812278363354,0.002695169905812557,14.0
0.0006406581370019343,-0.0016651806650154802,-0.013794255155457583,-0.00023202176617953462,0.0010555812278363354,0.002695169905812557,14.0
0.0006078660856155226,-0.001524229085161178,-0.013424085300707836,-0.00024241012292870802,0.0009872121113386934,0.0026677616255479275,14.138033839259316
0.0003941987236532194,-0.0008360618953950539,-0.011216971296457448,-0.0002371927667831283,0.0006287634579829513,0.002439405379564083,15.0
0.0003941987236532194,-0.0008360618953950539,-0.011216971296457448,-0.0002371927667831283,0.0006287634579829513,0.002439405379564083,15.0
0.00036154399787826237,-0.0007514008753904478,-0.010878462183327761,-0.00022908975450031195,0.000581130703457597,0.002396156011263239,15.140001479753984
0.0001915366552564815,-0.00035975665478438565,-0.008939175173083711,-0.00016356111274024032,0.00034503672135221744,0.0021092332534977417,16.0
0.0001915366552564815,-0.00035975665478438565,-0.008939175173083711,-0.00016356111274024032,0.00034503672135221744,0.0021092332534977417,16.0
0.00016871171080428066,-0.00031208759402307444,-0.008637437977524214,-0.0001517758843971339,0.00031386358104800946,0.002059102544028708,16.144774511230814
6.698570390797123e-05,-0.00010957446946451065,-0.007003292315574284,-8.845524159776934e-05,0.0001705536976871856,0.0017634108181957058,17.0
6.698570390797123e-05,-0.00010957446946451065,-0.007003292315574284,-8.845524159776934e-05,0.0001705536976871856,0.0017634108181957058,17.0
5.431895266974577e-05,-8.521419109358632e-05,-0.006740149613904916,-7.893858425597628e-05,0.00015145976178419806,0.0017121175497635105,17.15142970971762
6.5682603380672e-06,6.364037467464212e-06,-0.005405773760376853,-3.6728748717980035e-05,7.13369942973585e-05,0.001436673838555164,18.0
6.5682603380672e-06,6.364037467464212e-06,-0.005405773760376853,-3.6728748717980035e-05,7.13369942973585e-05,0.001436673838555164,18.0
1.2764198305991135e-06,1.6691943919828646e-05,-0.005184512999736811,-3.093509973352137e-05,6.071539574781181e-05,0.0013885472133919278,18.156641170262656
