x,y,z,vx,vy,vz,t
1.0,1.0,1.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0
1.0,1.0,1.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0
0.9999851260978663,0.9999924155826571,0.9999992113339385,-0.0017908012398811957,-0.0009623364211498,-0.00018906437855122419,0.017540853749663007
0.9981121210070913,0.9989394632357219,0.9997290817473596,-0.019091802792449413,-0.010815809912780633,-0.002812884312675048,0.19294939124629307
0.9593855918329783,0.9762168219077899,0.9939866076586883,-0.06967768478140161,-0.041833224066533406,-0.01032689690652985,1.00298005908824
0.8755160640112831,0.9241004833940636,0.9814543149744677,-0.09238042954349253,-0.05918937550147017,-0.013982335467574408,2.007011640832296
0.7599424595120403,0.8472082173638174,0.9633974784198267,-0.09402325828148697,-0.06487498347389421,-0.015258773929940864,3.228365621801313
0.628931692335192,0.752978354536466,0.9408074850600381,-0.08340576878520549,-0.06256456034462816,-0.015392712629025,4.696155156872591
0.4935222996601085,0.6464773328720929,0.9133980562049181,-0.06731064281281136,-0.055631325102311356,-0.01506722368419753,6.493384765645769
0.363316850763877,0.5326871431428504,0.8803424781635218,-0.050022779939737076,-0.04642934075540037,-0.014544500650634479,8.725234436882975
0.30477594638218264,0.47659502275414356,0.861992658366561,-0.042039977736382336,-0.0416450090451274,-0.014245052000301192,10.0
0.30477594638218264,0.47659502275414356,0.861992658366561,-0.042039977736382336,-0.0416450090451274,-0.014245052000301192,10.0
0.3018160611123425,0.47376507387230427,0.8603852392114876,-0.046114383307405915,-0.04267668872929539,-0.03345363305589932,10.067114036437
0.2607016495727874,0.44241780329757596,0.7876840716567132,-0.07236878647381295,-0.0498633001365981,-0.16671450646394997,10.738254400806992
0.13874022273652029,0.35886999621957666,0.44922982833743025,-0.07047412129213049,-0.05228835327823143,-0.21440166447556475,12.335124906221342
0.04317362477627072,0.2723487783442953,0.14868939181690627,-0.03720667708549387,-0.04483977338113927,-0.12021699878596022,14.101226559921917
0.0023751916962099495,0.2033870166186113,0.015313411861800658,-0.012647667800648178,-0.03553433373122705,-0.04207110861584795,15.8171175392717
-0.007270126386313606,0.1595683204933032,-0.017463827719739575,-0.002698318589679307,-0.028661760399629047,-0.009860991787444942,17.1853326080897
-0.0077500504814217875,0.12455451164604928,-0.02055356876780191,0.0012557910191944464,-0.022777171015877642,0.0029460784111323343,18.551320041375064
-0.005102173279905557,0.09539772246559217,-0.01355564446125478,0.0020336537180596958,-0.017662906755343936,0.005554248539100582,20.0
-0.005102173279905557,0.09539772246559217,-0.01355564446125478,0.0020336537180596958,-0.017662906755343936,0.005554248539100582,20.0
-0.004903537388461888,0.09354999035583274,-0.013024944655967968,0.002077914349077031,-0.020527394578743256,0.005438066279036137,20.096551865939553
-0.0029322735369134117,0.0670259966983541,-0.008387690025672186,0.0018523327826432071,-0.029756294679682216,0.004144775627471497,21.06207052533508
-0.0014006364942123416,0.03979010090591594,-0.004874626097539,0.0011667457843849366,-0.02298393785550476,0.002834405521926832,22.073474975590486
-0.00046581212730988975,0.019514847430036748,-0.002371675062428026,0.0005430678285632423,-0.013414789730785115,0.0016865229595821724,23.196092531362986
-5.948067383372671e-05,0.007914223719252699,-0.0008690686014086073,0.000173137841346403,-0.006320207932703721,0.0008539307966758055,24.410759187005212
4.782695358480492e-05,0.0024985745193502346,-0.00011785918632597646,1.8813346964452596e-05,-0.0023755563107364557,0.00033662259416901517,25.735286076372557
3.9409517328689843e-05,0.0004796088596481607,0.00015402925434106261,-1.708455790156362e-05,-0.0006335566437764551,6.783889435593249e-05,27.232423397046166
1.2390335271538886e-05,-2.265346005857205e-05,0.000164447475962501,-1.0475819001763147e-05,-7.113071059102524e-05,-3.072910319595182e-05,29.032142480220898
4.767517106918133e-06,-5.247053497712814e-05,0.00012914248974553908,-5.537895896265665e-06,-3.1935932630370797e-06,-3.935586848114317e-05,30.0
4.767517106918133e-06,-5.247053497712814e-05,0.00012914248974553908,-5.537895896265665e-06,-3.1935932630370797e-06,-3.935586848114317e-05,30.0
3.71170365451464e-06,-5.2373345707860296e-05,0.00012091900522715542,-4.695658260207879e-06,3.77270821674243e-06,-4.011408756042184e-05,30.206645012708126
-4.4195180810615637e-07,-2.4043466479530882e-05,5.0802640802263295e-05,-4.1869549339710553e-07,1.3516148341713646e-05,-2.775249715298153e-05,32.16769813221887
-4.28223119157123e-07,-6.8840610294644585e-06,1.48878450124858e-05,1.9671085661622182e-07,5.187957080923301e-06,-1.2040838989313956e-05,34.01729330153515
-5.9382734318242995e-08,-5.377855905842221e-07,-2.537073993088359e-07,7.373395433036163e-08,5.779482118990913e-07,-1.9161100248239446e-06,36.513330571257775
